id,generation,founder,dosage
0,0,1,
1,0,1,8369.0
2,0,1,8504.0
3,0,1,
4,0,1,
5,0,1,
6,0,1,8501.0
7,0,1,8505.0
8,0,1,8447.0
9,0,1,
10,0,1,
11,0,1,8531.0
12,0,1,
13,0,1,
14,0,1,
15,0,1,8530.0
16,0,1,
17,0,1,8417.0
18,0,1,8629.0
19,0,1,8377.0
20,0,1,
21,0,1,
22,0,1,8279.0
23,0,1,8477.0
24,0,1,
25,0,1,
26,0,1,
27,0,1,8558.0
28,0,1,8435.0
29,0,1,
30,0,1,8557.0
31,0,1,8434.0
32,0,1,
33,0,1,
34,0,1,
35,0,1,
36,0,1,8423.0
37,0,1,
38,0,1,8495.0
39,0,1,
40,0,1,8404.0
41,0,1,8442.0
42,0,1,
43,0,1,
44,0,1,
45,0,1,
46,0,1,
47,0,1,
48,0,1,8461.0
49,0,1,8468.0
50,0,1,
51,0,1,8627.0
52,0,1,8542.0
53,0,1,
54,0,1,
55,0,1,
56,0,1,
57,0,1,
58,0,1,
59,0,1,8439.0
60,0,1,
61,0,1,
62,0,1,8410.0
63,0,1,
64,0,1,8489.0
65,0,1,
66,0,1,8441.0
67,0,1,
68,0,1,
69,0,1,8445.0
70,0,1,
71,0,1,
72,0,1,
73,0,1,8594.0
74,0,1,8515.0
75,0,1,
76,0,1,8499.0
77,0,1,8506.0
78,0,1,8400.0
79,0,1,8463.0
80,0,1,8361.0
81,0,1,8439.0
82,0,1,8547.0
83,0,1,8357.0
84,0,1,8438.0
85,0,1,8363.0
86,0,1,8410.0
87,0,1,
88,0,1,
89,0,1,8432.0
90,0,1,
91,0,1,
92,0,1,8360.0
93,0,1,
94,0,1,8556.0
95,0,1,
96,0,1,8548.0
97,0,1,8521.0
98,0,1,
99,0,1,8341.0
100,0,1,
101,0,1,
102,0,1,8495.0
103,0,1,8454.0
104,0,1,
105,0,1,
106,0,1,
107,0,1,8536.0
108,0,1,8602.0
109,0,1,
110,0,1,8417.0
111,0,1,8427.0
112,0,1,
113,0,1,
114,0,1,
115,0,1,
116,0,1,8490.0
117,0,1,8390.0
118,0,1,8529.0
119,0,1,
120,0,1,
121,0,1,
122,0,1,8450.0
123,0,1,8474.0
124,0,1,8522.0
125,0,1,8537.0
126,0,1,8416.0
127,0,1,
128,0,1,8503.0
129,0,1,
130,0,1,
131,0,1,8406.0
132,0,1,
133,0,1,8552.0
134,0,1,8410.0
135,0,1,
136,0,1,
137,0,1,
138,0,1,8459.0
139,0,1,
140,0,1,8530.0
141,0,1,
142,0,1,8466.0
143,0,1,8483.0
144,0,1,8442.0
145,0,1,8450.0
146,0,1,8566.0
147,0,1,
148,0,1,
149,0,1,8457.0
150,0,1,8453.0
151,0,1,
152,0,1,
153,0,1,
154,0,1,8463.0
155,0,1,
156,0,1,
157,0,1,
158,0,1,8497.0
159,0,1,8558.0
160,0,1,8396.0
161,0,1,
162,0,1,8355.0
163,0,1,8513.0
164,0,1,8500.0
165,0,1,
166,0,1,
167,0,1,8479.0
168,0,1,8486.0
169,0,1,8453.0
170,0,1,8449.0
171,0,1,8357.0
172,0,1,8453.0
173,0,1,8607.0
174,0,1,8410.0
175,0,1,8413.0
176,0,1,
177,0,1,
178,0,1,
179,0,1,8398.0
180,0,1,8366.0
181,0,1,
182,0,1,
183,0,1,8435.0
184,0,1,
185,0,1,8597.0
186,0,1,8418.0
187,0,1,
188,0,1,8499.0
189,0,1,8459.0
190,0,1,
191,0,1,8520.0
192,0,1,
193,0,1,
194,0,1,
195,0,1,
196,0,1,
197,0,1,
198,0,1,8446.0
199,0,1,
200,0,1,8438.0
201,0,1,8404.0
202,0,1,8498.0
203,0,1,
204,0,1,8480.0
205,0,1,8443.0
206,0,1,8464.0
207,0,1,8504.0
208,0,1,8516.0
209,0,1,
210,0,1,
211,0,1,8387.0
212,0,1,
213,0,1,
214,0,1,
215,0,1,8376.0
216,0,1,
217,0,1,8417.0
218,0,1,
219,0,1,8512.0
220,0,1,
221,0,1,8480.0
222,0,1,
223,0,1,
224,0,1,
225,0,1,8500.0
226,0,1,8577.0
227,0,1,8527.0
228,0,1,8558.0
229,0,1,
230,0,1,8362.0
231,0,1,8441.0
232,0,1,
233,0,1,
234,0,1,8368.0
235,0,1,
236,0,1,8432.0
237,0,1,8598.0
238,0,1,
239,0,1,8531.0
240,0,1,
241,0,1,
242,0,1,8495.0
243,0,1,
244,0,1,8498.0
245,0,1,
246,0,1,8521.0
247,0,1,8464.0
248,0,1,
249,0,1,
250,0,1,8451.0
251,0,1,
252,0,1,8478.0
253,0,1,8461.0
254,0,1,8557.0
255,0,1,
256,0,1,
257,0,1,8455.0
258,0,1,
259,0,1,
260,0,1,8342.0
261,0,1,8404.0
262,0,1,
263,0,1,
264,0,1,8443.0
265,0,1,
266,0,1,8469.0
267,0,1,
268,0,1,8418.0
269,0,1,8349.0
270,0,1,
271,0,1,
272,0,1,8512.0
273,0,1,
274,0,1,
275,0,1,
276,0,1,8557.0
277,0,1,
278,0,1,
279,0,1,8552.0
280,0,1,8513.0
281,0,1,
282,0,1,
283,0,1,8466.0
284,0,1,8542.0
285,0,1,8405.0
286,0,1,8635.0
287,0,1,8340.0
288,0,1,8446.0
289,0,1,
290,0,1,
291,0,1,
292,0,1,8398.0
293,0,1,8570.0
294,0,1,
295,0,1,8503.0
296,0,1,8413.0
297,0,1,
298,0,1,
299,0,1,8473.0
300,0,1,8453.0
301,0,1,8467.0
302,0,1,
303,0,1,
304,0,1,
305,0,1,
306,0,1,
307,0,1,
308,0,1,8513.0
309,0,1,8389.0
310,0,1,
311,0,1,
312,0,1,
313,0,1,
314,0,1,
315,0,1,
316,0,1,8408.0
317,0,1,
318,0,1,8498.0
319,0,1,
320,0,1,
321,0,1,
322,0,1,8483.0
323,0,1,8442.0
324,0,1,
325,0,1,8455.0
326,0,1,8471.0
327,0,1,
328,0,1,
329,0,1,
330,0,1,
331,0,1,8444.0
332,0,1,
333,0,1,
334,0,1,8372.0
335,0,1,
336,0,1,8491.0
337,0,1,8474.0
338,0,1,8583.0
339,0,1,
340,0,1,
341,0,1,8541.0
342,0,1,
343,0,1,8447.0
344,0,1,8401.0
345,0,1,8368.0
346,0,1,8407.0
347,0,1,
348,0,1,8416.0
349,0,1,8517.0
350,0,1,8506.0
351,0,1,
352,0,1,
353,0,1,8511.0
354,0,1,8489.0
355,0,1,8398.0
356,0,1,
357,0,1,8454.0
358,0,1,8652.0
359,0,1,8432.0
360,0,1,
361,0,1,
362,0,1,8476.0
363,0,1,8427.0
364,0,1,8545.0
365,0,1,
366,0,1,8398.0
367,0,1,8463.0
368,0,1,8577.0
369,0,1,8436.0
370,0,1,8447.0
371,0,1,8446.0
372,0,1,8404.0
373,0,1,
374,0,1,
375,0,1,8402.0
376,0,1,8439.0
377,0,1,8510.0
378,0,1,
379,0,1,
380,0,1,8448.0
381,0,1,
382,0,1,
383,0,1,
384,0,1,8470.0
385,0,1,
386,0,1,8481.0
387,0,1,
388,0,1,8578.0
389,0,1,8488.0
390,0,1,8551.0
391,0,1,8375.0
392,0,1,
393,0,1,
394,0,1,8383.0
395,0,1,8559.0
396,0,1,8379.0
397,0,1,
398,0,1,
399,0,1,
400,0,1,8434.0
401,0,1,8461.0
402,0,1,8355.0
403,0,1,8330.0
404,0,1,8396.0
405,0,1,8459.0
406,0,1,
407,0,1,8436.0
408,0,1,
409,0,1,
410,0,1,
411,0,1,8568.0
412,0,1,8436.0
413,0,1,8403.0
414,0,1,
415,0,1,8388.0
416,0,1,
